flight_date,registration,hour,position_count,avg_altitude,min_altitude
2025-03-05,N623FB,5,1422,1992.9852320675105485,1450
2025-03-05,N623FB,23,1092,2005.9752747252747253,0
2025-03-06,N623FB,0,736,2001.8682065217391304,0
2025-03-06,N623FB,1,871,2113.9207807118254879,0
2025-03-06,N623FB,2,1382,2092.5289435600578871,1700
2025-03-06,N622FB,3,599,1936.6026711185308848,0
2025-03-06,N623FB,3,627,2002.5518341307814992,0
2025-03-06,N622FB,4,1600,1959.1093750000000000,1750
2025-03-06,N622FB,5,429,2060.8391608391608392,0
2025-03-06,N623FB,5,1262,2075.6537242472266244,0
2025-03-06,N622FB,22,203,2111.0837438423645320,0
2025-03-06,N622FB,23,1520,2091.9407894736842105,1700
2025-03-07,N622FB,0,485,2213.6082474226804124,0
2025-03-07,N622FB,1,2,787.5000000000000000,0
2025-03-07,N622FB,2,1352,2018.3062130177514793,1575
2025-03-07,N622FB,3,476,2102.6260504201680672,0
2025-03-07,N623FB,3,745,1901.0067114093959732,0
2025-03-07,N623FB,4,1352,1978.6982248520710059,1475
2025-03-07,N623FB,5,357,2057.3529411764705882,0
2025-03-07,N624FB,5,1287,1969.2696192696192696,0
2025-03-08,N623FB,2,1022,1882.9256360078277886,0
2025-03-08,N622FB,3,440,1658.6931818181818182,0
2025-03-08,N623FB,3,983,1956.3580874872838250,0
2025-03-08,N622FB,4,1303,1704.9884881043745203,1450
2025-03-08,N622FB,5,177,1733.1920903954802260,0
2025-03-08,N623FB,5,1496,1747.8609625668449198,0
2025-03-08,N624FB,23,1140,1621.0087719298245614,0
2025-03-09,N624FB,0,1140,1611.7763157894736842,0
2025-03-09,N624FB,2,1328,1504.1792168674698795,0
2025-03-09,N623FB,3,664,1632.4171686746987952,0
2025-03-09,N624FB,3,1036,1587.3069498069498069,0
2025-03-09,N623FB,4,1450,1622.3620689655172414,1225
2025-03-09,N622FB,5,1391,1716.8583752695902229,0
2025-03-09,N623FB,5,255,1685.8823529411764706,0
2025-03-10,N624FB,3,704,1729.9005681818181818,0
2025-03-10,N623FB,4,2,0.00000000000000000000,0
2025-03-10,N624FB,4,1451,1780.5134390075809786,1425
2025-03-10,N623FB,5,1551,1672.8401031592520954,1325
2025-03-10,N624FB,5,64,1639.0625000000000000,0
2025-03-10,N623FB,23,1056,1784.1382575757575758,0
2025-03-11,N623FB,0,1146,1791.7102966841186736,0
2025-03-11,N623FB,2,847,1840.9976387249114522,0
2025-03-11,N622FB,3,748,2178.6096256684491979,0
2025-03-11,N623FB,3,1013,2048.4205330700888450,0
2025-03-11,N622FB,4,1558,2143.0198973042362003,1800
2025-03-11,N621FB,5,1294,2053.7673879443585781,0
2025-03-11,N622FB,5,133,2064.0977443609022556,0
2025-03-11,N623FB,23,1386,2023.9538239538239538,0
2025-03-12,N623FB,0,1295,1883.8030888030888031,0
2025-03-12,N623FB,2,1107,1774.7289972899728997,0
2025-03-12,N622FB,3,609,1834.2775041050903120,0
2025-03-12,N623FB,3,950,1807.7631578947368421,0
2025-03-12,N622FB,4,1568,1868.3992346938775510,1650
2025-03-12,N621FB,5,1418,2025.5641748942172073,0
2025-03-12,N622FB,5,438,1879.7945205479452055,0
2025-03-12,N623FB,22,187,1837.8342245989304813,0
2025-03-12,N623FB,23,1516,1818.0244063324538259,1500
2025-03-13,N623FB,0,736,1745.2105978260869565,0
2025-03-13,N623FB,1,583,1879.6740994854202401,0
2025-03-13,N623FB,2,1447,1836.6447823082239115,1500
2025-03-13,N622FB,3,874,1686.1270022883295195,0
2025-03-13,N623FB,3,814,1594.8095823095823096,0
2025-03-13,N622FB,4,1608,1621.8750000000000000,1375
2025-03-13,N621FB,5,1172,1836.6040955631399317,0
2025-03-13,N622FB,5,211,1745.1421800947867299,0
2025-03-14,N623FB,2,1379,1892.6758520667150109,0
2025-03-14,N622FB,3,697,1988.3787661406025825,0
2025-03-14,N623FB,3,643,1947.9393468118195956,0
2025-03-14,N622FB,4,1348,1883.9391691394658754,1575
2025-03-14,N621FB,5,1397,1856.8897637795275591,0
2025-03-14,N622FB,5,237,1907.2784810126582278,0
2025-03-14,N621FB,22,881,1993.8422247446083995,0
2025-03-15,N621FB,2,970,1855.3865979381443299,0
2025-03-15,N621FB,3,1143,1989.0638670166229221,0
2025-03-15,N624FB,3,718,2014.9373259052924791,0
2025-03-15,N624FB,4,1477,1981.0426540284360190,1625
2025-03-15,N621FB,5,1276,2003.5266457680250784,0
2025-03-15,N624FB,5,199,2011.3065326633165829,0
2025-03-15,N621FB,23,618,2022.2896440129449838,0
2025-03-16,N621FB,0,166,1770.3313253012048193,0
2025-03-16,N621FB,1,221,1994.7963800904977376,0
2025-03-16,N621FB,2,1368,1913.7061403508771930,1375
2025-03-16,N621FB,3,391,1839.0664961636828645,0
2025-03-16,N624FB,3,452,1682.2455752212389381,0
2025-03-16,N621FB,4,45,1715.5555555555555556,0
2025-03-16,N624FB,4,1461,1711.2936344969199179,1400
2025-03-16,N621FB,5,1501,1714.7068620919387075,1425
2025-03-16,N624FB,5,187,1615.3743315508021390,0
2025-03-16,N623FB,23,1366,1704.0263543191800878,0
2025-03-17,N621FB,0,449,1927.6169265033407572,1300
2025-03-17,N623FB,0,680,1586.3602941176470588,0
2025-03-17,N624FB,0,452,1912.5000000000000000,0
2025-03-17,N621FB,1,777,2270.2380952380952381,0
2025-03-17,N624FB,1,799,2230.6946182728410513,0
2025-03-17,N623FB,2,1247,1730.5533279871692061,0
2025-03-17,N623FB,3,1058,1581.6398865784499055,0
2025-03-17,N624FB,3,711,1817.0182841068917018,0
2025-03-17,N624FB,4,1420,1701.0915492957746479,1425
2025-03-17,N621FB,5,1282,1854.1536661466458658,0
2025-03-17,N624FB,5,229,1721.7248908296943231,0
2025-03-17,N622FB,23,1009,1886.9425173439048563,0
2025-03-17,N623FB,23,301,2002.4916943521594684,0
2025-03-18,N622FB,0,877,1954.9030786773090080,0
2025-03-18,N622FB,2,1405,1889.4483985765124555,0
2025-03-18,N621FB,3,693,1819.1197691197691198,0
2025-03-18,N622FB,3,1010,1936.2376237623762376,0
